"State","District","Crop","Season","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Rabi","3950.00","6764.00","6209.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Total","1574.00","1511.00","1467.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Kharif","2549.00","1633.00","2691.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Rabi","3412.00","4682.00","4003.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Total","2588.00","1700.00","2722.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Kharif","266.00","308.00","402.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Rabi","250.00","",""
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Total","266.00","308.00","402.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Kharif","703.00","435.00","876.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Rabi","878.00","885.00","916.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Total","828.00","774.00","914.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Kharif","568.00","901.00","451.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Rabi","760.00","797.00","965.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Total","747.00","805.00","949.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Kharif","588.00","","900.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Rabi","","640.00","871.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Total","588.00","640.00","871.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Pulses","Total","696.00","653.00","874.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Kharif","2499.00","1618.00","2680.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Rabi","2340.00","1189.00","1282.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Total","2488.00","1555.00","2454.00"
"Andhra Pradesh","Anakapalli","Rice","Kharif","3143.00","2589.00","3164.00"
"Andhra Pradesh","Anakapalli","Rice","Rabi","2955.00","2986.00","3126.00"
"Andhra Pradesh","Anakapalli","Rice","Total","3139.00","2601.00","3163.00"
"Andhra Pradesh","Anakapalli","Maize","Kharif","4176.00","4695.00","4586.00"
"Andhra Pradesh","Anakapalli","Maize","Rabi","9750.00","8811.00","8619.00"
"Andhra Pradesh","Anakapalli","Maize","Total","7644.00","6902.00","7153.00"
"Andhra Pradesh","Anakapalli","Jowar","Rabi","7000.00","",""
"Andhra Pradesh","Anakapalli","Jowar","Total","7000.00","",""
"Andhra Pradesh","Anakapalli","Bajra","Kharif","1210.00","855.00","1101.00"
"Andhra Pradesh","Anakapalli","Bajra","Total","1210.00","855.00","1101.00"
"Andhra Pradesh","Anakapalli","Ragi","Kharif","1000.00","1317.00","1881.00"
"Andhra Pradesh","Anakapalli","Ragi","Rabi","1444.00","",""
"Andhra Pradesh","Anakapalli","Ragi","Total","1381.00","1317.00","1881.00"
"Andhra Pradesh","Anakapalli","Small Millets","Kharif","","1407.00",""
"Andhra Pradesh","Anakapalli","Small Millets","Total","","1407.00",""
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Kharif","1209.00","879.00","1131.00"
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Rabi","1737.00","",""
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Total","1221.00","879.00","1131.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Kharif","1327.00","1050.00","1251.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Rabi","7720.00","8811.00","8619.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Total","1844.00","1433.00","1675.00"
"Andhra Pradesh","Anakapalli","Cereals","Kharif","3117.00","2565.00","3137.00"
"Andhra Pradesh","Anakapalli","Cereals","Rabi","3235.00","3131.00","3333.00"
"Andhra Pradesh","Anakapalli","Cereals","Total","3119.00","2583.00","3141.00"
"Andhra Pradesh","Anakapalli","Tur","Kharif","222.00","606.00","735.00"
"Andhra Pradesh","Anakapalli","Tur","Total","222.00","606.00","735.00"
"Andhra Pradesh","Anakapalli","Gram","Rabi","2000.00","1556.00",""
"Andhra Pradesh","Anakapalli","Gram","Total","2000.00","1556.00",""
"Andhra Pradesh","Anakapalli","Urad","Kharif","1082.00","1200.00","990.00"
"Andhra Pradesh","Anakapalli","Urad","Rabi","547.00","721.00","692.00"
"Andhra Pradesh","Anakapalli","Urad","Total","562.00","728.00","700.00"
"Andhra Pradesh","Anakapalli","Moong","Kharif","641.00","616.00","451.00"
"Andhra Pradesh","Anakapalli","Moong","Rabi","517.00","634.00","624.00"
"Andhra Pradesh","Anakapalli","Moong","Total","524.00","633.00","616.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Kharif","607.00","608.00","900.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Rabi","474.00","530.00","558.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Total","502.00","543.00","640.00"
"Andhra Pradesh","Anakapalli","Total Pulses","Total","549.00","700.00","677.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Kharif","3095.00","2554.00","3116.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Rabi","804.00","983.00","924.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Total","2686.00","2215.00","2695.00"
"Andhra Pradesh","Ananthapuramu","Rice","Kharif","3693.00","3577.00","3431.00"
"Andhra Pradesh","Ananthapuramu","Rice","Rabi","4429.00","2956.00","2789.00"
