"State","District","Crop","Season","Yield-2016-17","Yield-2017-18","Yield-2018-19"
"Andaman And Nicobar Islands","Nicobars","Rice","Kharif","1430.00","530.00","1466.00"
"Andaman And Nicobar Islands","Nicobars","Rice","Total","1430.00","530.00","1466.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Kharif","1430.00","530.00","1466.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Total","1430.00","530.00","1466.00"
"Andaman And Nicobar Islands","Nicobars","Moong","Rabi","400.00","",""
"Andaman And Nicobar Islands","Nicobars","Moong","Total","400.00","",""
"Andaman And Nicobar Islands","Nicobars","Total Pulses","Total","400.00","",""
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Kharif","1430.00","530.00","1466.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Rabi","400.00","",""
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Total","1231.00","530.00","1466.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Kharif","2579.00","2104.00","2117.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Total","2579.00","2104.00","2117.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Rabi","2360.00","574.00","2164.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Total","2360.00","574.00","2164.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Rabi","2360.00","574.00","2164.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Total","2360.00","574.00","2164.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Kharif","2579.00","2104.00","2117.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Rabi","2360.00","574.00","2164.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Total","2577.00","2095.00","2117.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Rabi","46.00","500.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Total","46.00","500.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Rabi","322.00","291.00","161.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Total","322.00","291.00","161.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Rabi","291.00","311.00","210.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Total","291.00","311.00","210.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Pulses","Total","306.00","299.00","179.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Kharif","2579.00","2104.00","2117.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Rabi","370.00","314.00","261.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Total","2024.00","1926.00","2018.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Kharif","2713.00","2087.00","2306.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Total","2713.00","2087.00","2306.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Rabi","1843.00","1538.00","1114.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Total","1843.00","1538.00","1114.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Rabi","1843.00","1538.00","1114.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Total","1843.00","1538.00","1114.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Kharif","2713.00","2087.00","2306.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Rabi","1843.00","1538.00","1114.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Total","2517.00","2058.00","2175.00"
"Andaman And Nicobar Islands","South Andamans","Urad","Rabi","200.00","1048.00",""
"Andaman And Nicobar Islands","South Andamans","Urad","Total","200.00","1048.00",""
"Andaman And Nicobar Islands","South Andamans","Moong","Rabi","188.00","600.00",""
"Andaman And Nicobar Islands","South Andamans","Moong","Total","188.00","600.00",""
