"State","District","Crop","Season","Yield-2019-20","Yield-2020-21","Yield-2021-22"
"Andaman And Nicobar Islands","Nicobars","Rice","Kharif","1387.00","",""
"Andaman And Nicobar Islands","Nicobars","Rice","Total","1387.00","",""
"Andaman And Nicobar Islands","Nicobars","Maize","Rabi","","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Maize","Total","","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Nutri/Coarse Cereals","Rabi","","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Nutri/Coarse Cereals","Total","","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Kharif","1387.00","",""
"Andaman And Nicobar Islands","Nicobars","Cereals","Rabi","","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Total","1387.00","","1133.00"
"Andaman And Nicobar Islands","Nicobars","Urad","Rabi","","2445.00",""
"Andaman And Nicobar Islands","Nicobars","Urad","Total","","2445.00",""
"Andaman And Nicobar Islands","Nicobars","Moong","Rabi","","3090.00",""
"Andaman And Nicobar Islands","Nicobars","Moong","Total","","3090.00",""
"Andaman And Nicobar Islands","Nicobars","Total Pulses","Total","","2760.00",""
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Kharif","1387.00","",""
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Rabi","","2760.00","1133.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Total","1387.00","2760.00","1133.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Kharif","3156.00","",""
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Total","3156.00","",""
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Rabi","2866.00","2925.00","3001.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Total","2866.00","2925.00","3001.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Rabi","2866.00","2925.00","3001.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Total","2866.00","2925.00","3001.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Kharif","3156.00","",""
